1,2230,,65,,1,
2,3084,,76,2,2,
3,1500,,88,,,
4,1435,,90,,,
5,4064,,33,,,
6,4034,,86,,,
7,1345,,90,,,
8,1435,,88,,,
9,4028,,86,,,
10,4156,,27,,,
11,4196,,33,,,
12,1585,,90,,,
13,1335,,90,,,
14,1514,,86,,,
15,1575,,90,,,
16,4065,,31,,,
17,1563,,90,,,
18,4126,,29,,,
19,1346,,88,,,
20,1492,,88,,,
21,1595,,88,,,
22,4178,,33,,,
23,4135,,31,,,
24,1396,,88,,,
25,1374,,88,,,
26,1286,,88,,,
27,1525,,90,,,
28,4130,,86,,,
29,1523,,90,,,
30,4076,,29,,,
31,1259,,88,,,
32,4045,,29,,,
33,1505,,90,,,
34,1526,,86,,,
35,1425,,90,,,
36,1477,,88,,,
37,4110,,86,,,
38,1385,,88,,,
39,1400,,86,,,
40,4059,,25,,,
41,1534,,86,,,
42,1334,,88,,,
43,1554,,86,,,
44,1364,,88,,,
45,1491,,88,,,
46,4160,,86,,,
47,4170,,86,,,
48,1111,,90,,,
49,1131,,90,,,
50,1100,,88,,,
51,4087,,31,,,
52,1575,,88,,,
53,1353,,90,,,
54,4075,,27,,,
55,1502,,88,,,
56,4180,,27,,,
57,1335,,88,,,
58,1375,,88,,,
59,1315,,88,,,
60,2500,,98,,,
61,2502,,98,,,
62,4545,,51,,,
63,2515,,98,,,
64,2585,,98,,,
65,4652,,51,,,
66,4546,,51,,,
67,4434,,51,,,
68,2535,,98,,,
69,2650,,96,,,
70,2463,,96,,,
71,4726,,51,,,
72,2446,,96,,,
73,4543,,51,,,
74,2490,,96,,,
75,2455,,98,,,
76,2584,,96,,,
77,2574,,96,,,
78,4534,,51,,,
79,2516,,96,,,
80,2646,,96,,,
81,4527,,53,,,
82,4634,,51,,,
83,2501,,98,,,
84,2527,,98,,,
85,2614,,96,,,
86,2565,,98,,,
87,2438,,96,,,
88,2443,,102,,,
89,2566,,96,,,
90,4555,,51,,,
91,4662,,51,,,
92,4455,,49,,,
93,4535,,53,,,
94,2456,,96,,,
95,4560,,51,,,
96,2526,,96,,,
97,4525,,51,,,
98,2468,,96,,,
99,2433,,98,,,
100,4772,,51,,,
101,2453,,102,,,
102,4554,,51,,,
103,2545,,98,,,
104,2455,,96,,,
105,2126,,62,,,
106,2200,,62,,,
107,2199,,62,,,
108,1801,,62,,,
109,2700,,43,,,
110,2833,,43,,,
111,2000,,58,,,
112,2100,,62,,,
113,2100,,58,,,
114,2800,,39,,,
115,2142,,62,,,
116,2210,,60,,,
117,2787,,43,,,
118,2249,,64,,,
119,2990,,47,,,
120,2105,,66,,,
121,2944,,47,,,
122,2196,,62,,,
123,2274,,62,,,
124,2945,,45,,,
125,2222,,62,,,
126,2001,,58,,,
127,2255,,66,,,
128,2254,,66,,,
129,2849,,45,,,
130,2920,,45,,,
131,2041,,66,,,
132,2920,,43,,,
133,2824,,47,,,
134,2231,,64,,,
135,2177,,66,,,
136,2152,,66,,,
137,2251,,64,,,
138,2872,,45,,,
139,2244,,62,,,
140,2265,,64,,,
141,2223,,64,,,
142,2986,,47,,,
143,2927,,43,,,
144,2156,,64,,,
145,2856,,45,,,
146,2602,,47,,,
147,2184,,64,,,
148,2184,,62,,,
149,2857,,45,,,
150,2165,,66,,,
151,2213,,64,,,
152,2084,,66,,,
153,2176,,66,,,
154,2983,,45,,,
155,2260,,66,,,
156,2082,,66,,,
157,2955,,45,,,
158,2222,,64,,,
159,2105,,64,,,
160,2125,,66,,,
161,1914,,66,,,
162,2160,,64,,,
163,2256,,64,,,
164,1880,,66,,,
165,2025,,60,,,
166,2216,,64,,,
167,2236,,66,,,
168,2884,,47,,,
169,2870,,47,,,
170,2882,,45,,,
171,2906,,47,,,
172,2840,,47,,,
173,2275,,66,,,
174,2968,,45,,,
175,2841,,45,,,
176,2126,,64,,,
177,2120,,64,,,
178,2947,,43,,,
179,2246,,62,,,
180,2015,,62,,,
181,2150,,62,,,
182,2155,,66,,,
183,2215,,64,,,
184,2903,,45,,,
185,2869,,45,,,
186,2164,,64,,,
187,2272,,66,,,
188,1926,,66,,,
189,2092,,62,,,
190,2829,,45,,,
191,2152,,64,,,
192,2860,,45,,,
193,2267,,66,,,
194,2283,,64,,,
195,2233,,66,,,
196,2680,,47,,,
197,2106,,64,,,
198,2968,,47,,,
199,2864,,45,,,
200,2910,,45,,,
201,2848,,47,,,
202,2832,,47,,,
203,2915,,43,,,
204,2816,,45,,,
205,2034,,66,,,
206,2914,,47,,,
207,2808,,45,,,
208,2133,,64,,,
209,2136,,66,,,
210,2126,,66,,,
211,2228,,62,,,
212,2249,,66,,,
213,2898,,45,,,
214,2634,,47,,,
215,2278,,66,,,
216,2250,,64,,,
217,2274,,64,,,
218,2965,,45,,,
219,2954,,45,,,
220,2267,,64,,,
221,2998,,45,,,
222,2880,,47,,,
223,2065,,62,,,
224,2022,,60,,,
225,2981,,43,,,
226,2035,,60,,,
227,2957,,43,,,
228,2935,,45,,,
229,2969,,45,,,
230,1946,,66,,,
231,2881,,47,,,
232,2932,,47,,,
233,2125,,64,,,
234,2002,,66,,,
235,2942,,45,,,
236,2927,,45,,,
237,2262,,66,,,
238,2180,,62,,,
239,2852,,47,,,
240,2245,,62,,,
241,2202,,66,,,
242,2234,,64,,,
243,2209,,64,,,
244,2875,,45,,,
245,2883,,45,,,
246,2114,,66,,,
247,2003,,62,,,
248,2140,,64,,,
249,2923,,43,,,
250,2288,,66,,,
251,3025,,41,,,
252,1895,,62,,,
253,2958,,47,,,
254,1927,,62,,,
255,2006,,62,,,
256,1875,,62,,,
257,2991,,45,,,
258,1906,,66,,,
259,2286,,64,,,
260,1936,,66,,,
261,2111,,66,,,
262,2135,,66,,,
263,4600,,39,,,
264,2000,,94,,,
265,1969,,96,,,
266,1704,,94,,,
267,1916,,94,,,
268,4425,,39,,,
269,4522,,43,,,
270,2098,,96,,,
271,4499,,43,,,
272,2076,,94,,,
273,2025,,96,,,
274,2038,,96,,,
275,4416,,43,,,
276,4465,,39,,,
277,2045,,96,,,
278,4481,,86,,,
279,2075,,96,,,
280,4425,,41,,,
281,4435,,39,,,
282,4436,,41,,,
283,2043,,94,,,
284,1935,,96,,,
285,4369,,35,,,
286,4476,,43,,,
287,2124,,94,,,
288,4475,,39,,,
289,1986,,94,,,
290,4601,,43,,,
291,1974,,94,,,
292,2072,,96,,,
293,2026,,94,,,
294,4390,,43,,,
295,4430,,43,,,
296,2012,,94,,,
297,4235,,86,,,
298,1926,,94,,,
299,2026,,96,,,
300,1780,,94,,,
301,4202,,39,,,
302,NEC,,AV.CIRCUNVALACION,,,
303,2995,,550,,,
304,3246,,544,,,
305,3256,,544,,,
306,2262,,573,,,
307,2265,,575,,,
308,2225,,575,,,
309,2075,,575,,,
310,2255,,575,,,
311,2090,,575,,,
312,2250,,573,,,
313,3150,,548,,,
314,2215,,575,,,
315,2295,,575,,,
316,2105,,573,,,
