1,1,1,18,0
2,1,2,18,0
3,1,3,18,0
4,7,4,18,1
5,1,5,18,0
6,4,6,18,0
7,1,1,19,0
8,1,2,19,0
9,1,3,19,0
10,7,4,19,1
11,1,5,19,0
12,4,6,19,0
28,1,7,16,0
29,1,5,16,0
32,1,9,1,0
34,1,11,15,0
