1100,448
11598,4
20594,2
26157,1
26980,1
28214,1
28416,1
28510,1
28980,1
28981,1
33097,1
33110,1
33154,1
34092,2
35683,2
36115,1
36929,1
37528,1
39017,1
43356,1
43370,1
43827,1
43895,4
45897,4
46375,1
47215,1
50454,2
51285,2
51285,3
51842,2
54033,1
54275,1
54356,2
56883,2
64882,31
65960,1
66878,3
67533,1
70725,1
74840,1
75149,3
75967,2
76145,2
78089,1
78169,1
78169,2
78258,1
78258,2
79184,1
79869,2
80236,1
86643,1
86725,1
86984,1
87913,1
88165,1
88379,1
90788,1
388,1
1100,738
10494,1
17072,1
21013,1
21223,3
25342,1
30446,1
30671,3
30961,1
32024,1
32084,1
32718,1
32855,1
33826,1
34361,1
43250,1
44787,1
45436,1
46381,2
47561,4
50076,1
51590,5
52157,1
54830,3
57381,1
58489,1
60895,1
61100,2
63126,2
64050,1
64455,1
67403,7
70846,1
72525,1
74826,1
76814,1
80564,1
82877,1
83516,1
84732,1
87430,1
87990,1
88201,1
89478,1
90765,1
1100,88
1100,90
1100,92
1100,96
1100,243
1100,280
1100,287
1100,457
1100,552
1100,584
1100,674
1100,731
1100,753
2248,1
3266,1
3337,1
4280,1
4612,1
5398,1
5765,1
7138,1
7280,3
7731,2
9149,1
10462,2
10462,3
10477,1
11530,1
12544,1
13206,3
13206,4
13242,1
13287,10
13287,14
13287,15
13287,16
13287,18
13287,19
13287,20
13287,22
13287,23
13805,1
15680,1
16210,1
16249,1
16258,1
16655,1
16698,2
16763,1
18227,1
18437,3
19160,1
19402,1
20594,6
21708,1
21798,1
22013,1
22993,1
24267,2
24808,1
25381,5
26666,1
28460,3
29090,1
31580,1
33140,1
33866,4
34035,1
35274,2
35627,1
35755,1
35796,1
37908,1
38066,1
38743,1
39612,1
41207,2
42279,1
42387,8
43195,2
43659,1
45675,1
46725,3
47759,1
47759,2
47766,1
47975,2
48400,1
48784,3
48923,2
48965,2
50020,2
50039,1
50285,1
50356,2
51488,1
52045,3
52472,1
53777,1
54527,2
55149,1
55175,1
55729,1
56839,1
58122,4
58763,2
59081,2
59506,22
59870,1
60688,2
60829,1
60834,1
61467,3
62054,3
62571,3
62848,1
63303,2
64218,2
64643,1
65046,3
65204,1
65301,1
65479,1
65671,1
66621,1
66663,2
66890,1
66981,2
67043,1
67815,1
68173,3
68405,1
68970,1
70027,5
70736,1
70799,1
71075,2
71265,1
71776,1
71776,2
72121,2
72127,2
72213,1
72298,1
72646,5
73268,1
74237,2
74354,2
74526,1
76140,1
76615,1
76686,1
76976,1
77414,1
77513,1
77702,1
77742,2
78166,1
78608,2
78814,1
78838,1
78917,2
78917,3
79178,1
79413,2
80242,1
80605,1
80662,1
80762,2
81165,1
84174,2
84489,1
84560,1
85110,1
86205,2
86852,1
88134,1
88642,1
88694,2
89413,1
89442,1
89843,1
91462,1
91508,1
91814,1
9683,1
12351,1
15323,4
15946,3
16023,2
17639,1
17953,2
19000,1
23007,1
31916,1
35482,1
36460,1
37345,1
39116,1
44427,2
45053,2
45810,1
52296,2
53625,2
63967,2
66271,1
67400,2
67977,1
69150,1
71001,1
71354,1
74715,3
75153,1
76330,1
77731,1
81115,1
82390,2
82918,1
82969,1
84424,2
84542,1
85069,1
90550,1
91107,1
46846,11
47130,1
53495,1
55989,1
58187,1
58417,1
58748,2
61320,1
62203,4
66992,1
75342,1
89496,1
89501,1
89584,1
91771,1
