88165;1;00003322107;2018-07-03 00:00:00.000;4196,00;0
52157;1;00506035000;2018-07-03 00:00:00.000;27526,00;0
54830;3;00506043168;2018-07-03 00:00:00.000;21803,00;0
80564;1;00000209544;2018-07-03 00:00:00.000;13009,00;0
58489;1;00002355506;2018-07-03 00:00:00.000;24406,00;0
50454;2;00004435860;2018-07-03 00:00:00.000;18021,00;0
47215;1;00000059506;2018-07-03 00:00:00.000;43564,00;0
28981;1;00001142016;2018-07-03 00:00:00.000;14964,00;0
51285;2;00006357068;2018-07-03 00:00:00.000;32797,00;0
51285;3;00003341600;2018-07-03 00:00:00.000;4763,00;0
46375;1;00005516159;2018-07-03 00:00:00.000;46590,00;0
33097;1;00004876152;2018-07-03 00:00:00.000;74459,00;0
26157;1;00000382523;2018-07-03 00:00:00.000;34951,00;0
28980;1;00000404799;2018-07-03 00:00:00.000;4432,00;2
28980;1;00606125535;2018-07-03 00:00:00.000;11783,00;0
54033;1;00000817051;2018-07-03 00:00:00.000;53748,00;0
36115;1;00606120883;2018-07-03 00:00:00.000;16084,00;0
35683;2;00001045587;2018-07-03 00:00:00.000;17507,00;0
34092;2;00606120834;2018-07-03 00:00:00.000;13653,00;0
33110;1;00003366458;2018-07-03 00:00:00.000;5406,00;0
28416;1;00000739674;2018-07-03 00:00:00.000;46747,00;0
28214;1;00002153945;2018-07-03 00:00:00.000;10504,00;0
54356;2;00606093539;2018-07-03 00:00:00.000;11323,00;0
11598;4;00000927987;2018-07-03 00:00:00.000;19589,00;0
64882;31;00003172888;2018-07-03 00:00:00.000;42701,00;0
65960;1;00001060011;2018-07-03 00:00:00.000;16374,00;0
66878;3;00003468251;2018-07-03 00:00:00.000;1590,00;0
43827;1;00000202711;2018-07-03 00:00:00.000;39606,00;0
45897;4;00506016468;2018-07-03 00:00:00.000;34671,00;0
43895;4;00000060650;2018-07-03 00:00:00.000;19755,00;0
43370;1;00606125536;2018-07-03 00:00:00.000;8374,00;0
43356;1;00606099244;2018-07-03 00:00:00.000;11832,00;0
39017;1;00006190309;2018-07-03 00:00:00.000;65167,00;0
37528;1;00001115339;2018-07-03 00:00:00.000;20656,00;0
36929;1;00005622423;2018-07-03 00:00:00.000;27697,00;0
67533;1;00017170067;2018-07-03 00:00:00.000;333,00;0
33154;1;00000370902;2018-07-03 00:00:00.000;3185,00;0
28510;1;00001136844;2018-07-03 00:00:00.000;53091,00;0
26980;1;00000014472;2018-07-03 00:00:00.000;94994,00;0
56883;2;00506038896;2018-07-03 00:00:00.000;10298,00;0
70725;1;00007935547;2018-07-03 00:00:00.000;42209,00;0
74840;1;00506016239;2018-07-03 00:00:00.000;21527,00;0
75149;3;00001948564;2018-07-03 00:00:00.000;11064,00;0
75967;2;00606136968;2018-07-03 00:00:00.000;5146,00;0
76145;2;00503075143;2018-07-03 00:00:00.000;27718,00;0
78089;1;00010731970;2018-07-03 00:00:00.000;36024,00;0
18437;3;00001189243;2018-07-03 00:00:00.000;14364,00;0
13805;1;00003143191;2018-07-03 00:00:00.000;52053,00;0
16249;1;00002008652;2018-07-03 00:00:00.000;73124,00;0
24267;2;00003884601;2018-07-03 00:00:00.000;43695,00;0
88201;1;00003322267;2018-07-03 00:00:00.000;6056,00;0
84732;1;00503070329;2018-07-03 00:00:00.000;14596,00;0
13287;10;00001059834;2018-07-03 00:00:00.000;6187,00;0
