30015;58;3402;0;   ;LOCAL          
14673;58;3410;0;   ;               
28603;58;3412;0;   ;               
51822;58;3412;0;PA ;P.A.           
44486;58;3412;1;   ;               
14178;58;3416;0;   ;               
11519;58;3426;0;   ;               
27161;58;3432;0;   ;               
17715;58;3446;0;   ;               
17716;58;3446;0;   ;LOCAL          
25387;58;3454;0;   ;               
7;58;3462;0;   ;               
6810;58;3470;0;   ;               
9544;58;3484;0;   ;               
1040;58;3498;0;   ;               
721;58;3500;0;   ;               
17535;58;3504;0;   ;               
5196;58;3512;0;   ;               
41469;58;3524;0;   ;               
1720;58;3524;0;   ;LOCAL          
37451;58;3534;0;   ;               
5647;58;3536;0;   ;               
14927;58;3550;0;   ;               
28187;58;3556;0;   ;               
25778;58;3566;0;   ;               
41337;58;3574;0;   ;LOCAL          
30303;58;3574;0;   ;               
45116;58;3576;0;   ;LOCAL          
30573;58;3578;0;   ;               
19238;58;3584;0;   ;               
52809;58;3584;0;   ;LOCAL          
21695;58;3586;0;   ;               
8437;58;3616;0;   ;               
8438;58;3620;0;   ;               
10639;58;3636;0;   ;               
42774;58;3650;0;   ;               
32452;58;3656;0;   ;               
14822;58;3664;0;   ;               
45572;58;3666;0;   ;               
33962;58;3672;0;   ;               
4263;58;3680;0;   ;               
14136;58;3698;0;   ;LOCAL          
34192;58;3702;0;   ;               
7099;58;3754;0;   ;               
41258;60;3401;0;   ;               
35236;60;3419;0;   ;               
32396;60;3419;1;   ;               
169;60;3425;0;   ;               
9283;60;3426;0;   ;               
5128;60;3427;0;   ;               
6485;60;3436;0;   ;               
1608;60;3445;0;   ;               
9638;60;3446;0;   ;               
3595;60;3454;0;   ;               
18395;60;3455;0;   ;               
21029;60;3455;0;   ;FONDO          
36914;60;3466;0;   ;               
5978;60;3471;0;   ;               
11636;60;3474;0;   ;               
2691;60;3475;0;   ;               
22927;60;3484;0;   ;               
48154;60;3485;0;   ;               
5982;60;3485;0;   ;FONDO          
10962;60;3490;0;   ;               
54887;60;3500;0;   ;               
54888;60;3501;0;   ;               
24883;60;3505;0;   ;               
35556;60;3519;0;   ;               
4745;60;3520;0;   ;               
48972;60;3522;0;   ;               
2448;60;3527;0;   ;               
34928;60;3532;0;   ;               
38867;60;3533;0;   ;INTERNO        
30117;60;3533;0;   ;               
29493;60;3545;0;   ;               
37021;60;3546;0;   ;               
8923;60;3555;0;   ;               
37022;60;3556;0;   ;               
21145;60;3563;0;   ;               
3123;60;3566;0;   ;               
2635;60;3571;0;   ;               
38021;60;3572;0;   ;               
3139;60;3579;0;   ;               
11645;60;3591;0;   ;               
4103;60;3598;0;   ;               
54889;60;3600;0;   ;               
46661;60;3601;0;   ;               
21989;60;3602;0;   ;               
26269;60;3614;0;   ;               
20190;60;3637;0;   ;               
3905;60;3639;0;   ;               
13869;60;3648;0;   ;               
6102;60;3655;0;   ;               
10416;60;3656;0;   ;               
17999;60;3662;0;   ;               
38351;60;3662;1;   ;               
36777;60;3664;0;   ;               
3251;60;3667;0;   ;               
9724;60;3677;0;   ;               
4015;60;3682;0;   ;               
43293;60;3685;0;   ;               
11677;60;3690;0;   ;               
12868;60;3695;0;   ;               
22445;61;3401;0;   ;               
22444;61;3447;0;   ;COCHERA        
36726;61;3447;0;   ;LOCAL          
38760;61;3447;0;   ;               
31182;61;3455;0;   ;FONDO          
42133;61;3455;0;   ;               
31349;61;3467;0;   ;               
38761;61;3469;0;   ;               
48590;61;3469;0;   ;LOCAL          
21796;61;3476;0;   ;               
6596;61;3494;0;   ;               
28131;61;3495;0;   ;               
28132;61;3497;0;   ;               
42693;61;3498;0;   ;               
